id,quesm1,quesm1r,forum1,forum2,forum3,forum4,ativcolm1,ativcolm1r,forum1r,aprovado
5658,1,1,1,1,1,1,1,1,0,Sim
5663,0,1,1,1,1,0,0,0,0,Não
5672,0,0,1,1,1,1,0,0,0,Não
5675,1,0,1,1,1,1,1,0,0,Não
5679,1,0,1,1,1,1,1,0,0,Não
5681,1,0,1,1,1,1,1,0,0,Não
5695,1,0,1,1,1,1,1,0,0,Não
5703,1,0,1,1,1,1,0,0,0,Sim
5709,1,1,1,1,1,1,1,0,1,Não
5727,1,1,1,1,1,1,1,0,0,Sim
5738,0,0,1,1,0,0,0,0,0,Não
5748,1,0,1,1,1,1,1,0,0,Não
5753,1,1,1,1,1,1,1,0,0,Sim
5757,1,0,1,0,0,0,1,0,0,Não
5763,0,0,1,0,0,0,0,0,0,Não
5764,0,1,1,1,1,1,1,0,0,Sim
5771,1,0,1,1,1,1,1,0,0,Não
5773,1,0,1,1,1,1,1,0,0,Sim
5776,1,0,1,1,1,1,1,0,0,Sim
5777,1,0,0,0,0,0,0,0,0,Não
5783,0,1,1,1,1,1,0,1,1,Não
5799,1,0,1,1,1,1,1,0,0,Sim
5848,1,0,1,1,1,1,1,0,0,Não
5849,1,0,1,1,1,1,0,0,0,Não
5881,1,1,1,1,1,1,1,1,1,Não
5890,1,0,1,1,1,1,1,0,0,Sim
5893,0,0,1,1,1,0,0,0,0,Não
5910,1,1,1,0,1,0,0,0,0,Não
5917,1,0,1,1,1,1,1,0,0,Sim
5919,1,0,1,1,1,1,1,0,0,Sim
5923,1,1,0,0,0,0,0,1,1,Sim
5927,1,0,1,1,1,1,0,0,0,Não
5935,1,1,1,1,1,1,1,1,1,Sim
5943,0,0,1,0,0,0,0,0,0,Não
5944,1,1,1,1,1,1,1,1,0,Sim
5951,0,0,0,0,0,0,0,0,0,Não
5967,0,0,0,0,0,0,0,0,0,Não
5968,1,0,1,1,1,1,1,0,0,Não
5976,1,0,1,1,1,1,1,0,0,Não
5980,1,0,1,1,1,1,1,0,0,Sim
5990,0,0,0,0,0,0,0,0,0,Não
6005,1,0,1,1,1,1,0,0,0,Não
6007,1,1,1,1,0,1,0,0,0,Não
6025,0,0,1,1,1,1,1,0,0,Sim
6034,1,0,1,1,1,1,1,0,0,Não
6038,1,0,1,1,1,0,1,0,0,Sim
6063,0,1,0,0,0,0,0,1,1,Sim
6064,0,0,1,1,0,1,0,0,0,Não
6070,1,1,0,0,0,0,1,0,0,Não
6076,1,0,1,1,1,1,1,0,0,Sim
6108,0,0,1,0,0,0,0,0,0,Sim
6114,1,1,1,0,0,0,1,0,0,Não
6120,0,1,0,0,0,0,0,0,1,Não
6132,0,1,1,1,1,0,1,1,1,Sim
6138,0,0,0,0,0,0,0,0,0,Não
6163,1,0,1,1,1,1,0,0,0,Não
6192,1,1,1,1,1,1,1,0,0,Sim
6194,1,0,1,1,1,1,1,0,0,Não
6218,1,1,1,1,1,1,0,1,0,Não
6228,0,1,1,1,1,1,1,0,1,Sim
6244,1,0,1,1,1,1,1,0,0,Sim
6270,1,0,1,1,1,1,1,0,0,Sim
6275,1,0,1,0,0,0,1,0,0,Não
6297,0,0,0,0,0,0,0,0,0,Não
6302,1,1,1,1,1,1,1,1,1,Sim
6310,0,0,1,1,0,0,0,0,0,Não
6318,1,0,1,1,1,1,1,0,0,Sim
6322,1,0,1,1,0,0,1,0,0,Não
6331,0,1,1,1,1,0,0,1,1,Não
6336,1,0,1,1,1,1,1,0,0,Sim
6345,1,1,1,1,1,1,1,0,0,Sim
6351,0,0,1,1,1,1,0,0,0,Não
6365,1,1,1,1,1,1,0,0,0,Não
6367,0,0,0,0,0,0,1,0,0,Não
6368,1,0,1,1,1,1,1,0,0,Não
6383,0,0,0,0,0,0,1,0,0,Não
6397,1,1,1,1,1,1,0,0,1,Sim
6401,1,0,0,1,1,0,0,0,0,Não
6402,1,0,1,1,1,1,1,0,0,Não
6405,1,0,1,1,1,1,0,0,0,Não
6410,1,0,1,1,1,0,1,0,0,Não
