id,quesm2,ativcolm2,forum5,forum6,forum7,ativcolm2r,quesm2r,forum8,forum2r,aprovado,quesm1,quesm1r,forum1,forum2,forum3,forum4,ativcolm1,ativcolm1r,forum1r
1816,1,0,0,1,0,0,0,0,0,Não,0,0,1,1,1,1,1,0,0
1825,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
1834,0,0,0,0,0,0,1,0,0,Não,0,0,0,0,0,0,0,0,0
1857,1,1,1,0,1,0,0,1,0,Sim,1,1,1,1,1,1,1,0,0
1866,1,1,1,0,1,0,0,0,0,Sim,1,0,1,1,1,0,1,0,0
1878,1,1,1,1,0,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
1885,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
1911,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
1919,1,1,0,1,1,0,1,0,0,Sim,1,1,1,1,1,1,1,0,1
1925,1,1,0,1,1,0,1,0,0,Não,0,1,1,1,1,1,0,1,1
1928,1,1,1,0,0,1,1,0,1,Não,1,1,1,1,1,0,0,1,0
1931,1,1,0,0,0,1,1,0,1,Sim,1,0,1,1,1,1,1,0,0
1937,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
1945,1,1,1,1,0,1,1,0,1,Sim,1,0,1,1,1,1,1,0,0
1955,1,1,1,1,1,1,1,1,1,Não,1,1,1,1,1,1,0,1,1
1976,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
1980,1,1,0,0,0,0,1,0,0,Sim,1,0,1,1,1,0,1,0,0
2002,0,0,1,0,0,0,0,0,0,Não,1,0,1,1,1,1,1,0,0
2014,1,1,1,0,0,0,0,0,0,Sim,1,0,1,1,1,1,1,0,0
2030,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
2057,1,1,1,1,1,0,0,1,0,Não,1,1,1,1,1,1,1,0,0
2080,1,1,0,1,1,1,1,0,1,Sim,1,1,1,1,1,1,1,0,0
2086,1,0,0,0,0,0,0,0,0,Sim,1,0,1,1,1,1,0,0,0
2098,1,0,0,1,0,1,1,1,0,Sim,0,1,0,0,0,0,0,1,1
2100,1,1,1,0,1,0,0,1,0,Sim,1,1,1,1,1,1,1,0,0
2102,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
2145,1,1,1,0,1,0,0,0,0,Sim,1,0,1,1,1,1,1,0,0
2147,0,0,0,0,0,0,0,0,0,Não,1,0,1,1,1,1,1,0,0
2158,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
2248,1,1,1,1,1,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
2266,0,0,0,0,0,0,0,0,0,Não,1,0,1,0,0,0,1,0,0
2275,1,1,1,1,1,0,0,1,0,Não,1,1,1,1,1,1,1,1,0
2293,1,1,1,0,0,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
2325,0,0,1,1,1,0,1,1,1,Não,1,0,1,1,1,1,1,0,0
2334,0,0,1,0,1,0,1,0,0,Não,0,1,1,1,1,0,0,0,1
2337,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
